AIN,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
10520599,T10,Independent,C1000,ProductDev,Association,1,0,N,5000,1
10531628,T3,Independent,C2000,Preservation,Co-operative,1,1-9999,N,108590,1
10547893,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
10553066,T3,CompanySponsored,C2000,Preservation,Trust,1,10000-24999,N,6692,1
10556103,T3,Independent,C1000,Heathcare,Trust,1,100000-499999,N,142590,1
10556855,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10558440,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,31452,1
10566033,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,7508025,1
10570430,T7,Independent,C1000,ProductDev,Trust,1,1-9999,N,94389,1
10571689,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
10573059,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,69656,0
10575727,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,165593,0
10583569,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
10585206,T3,Independent,C2700,Preservation,Trust,1,25000-99999,N,5301,1
10585443,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10596727,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10602428,T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
10603214,T3,Independent,C1000,Heathcare,Trust,1,50M+,N,86380556,0
10604986,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
10605038,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,376109,0
10608689,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
10612407,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10614724,T3,Independent,C7000,Preservation,Trust,1,100000-499999,N,318296,0
10622557,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
10623527,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
10629331,T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
10631060,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10635952,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,44004,1
10637680,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
10637829,T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
10637920,T6,Independent,C2000,ProductDev,Trust,1,100000-499999,N,323466,1
10638860,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
10639038,T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10641003,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
10642634,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
10648919,T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
10655941,T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
10656131,T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
10656251,T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
